NumberCreated, TotalCreationTime, TotalRSS
30, 0.002617, 2972
30, 0.002221, 2976
30, 0.002067, 2872
30, 0.002376, 2956
30, 0.002433, 2976
30, 0.001956, 2868
30, 0.001845, 2900
30, 0.002355, 3016
30, 0.001236, 2948
30, 0.001861, 2972
30, 0.001899, 2904
30, 0.001056, 2972
30, 0.002245, 2876
30, 0.002399, 2904
30, 0.002220, 2872
30, 0.002194, 2956
30, 0.002308, 2872
30, 0.001707, 2928
30, 0.001685, 2972
30, 0.002320, 2976
30, 0.002355, 2948
30, 0.001424, 2880
30, 0.002259, 2956
30, 0.002028, 2880
30, 0.002256, 2868
30, 0.002301, 2868
30, 0.001912, 2868
30, 0.002103, 2956
30, 0.002592, 3392
30, 0.001758, 2868
30, 0.002081, 2948
30, 0.002361, 2972
30, 0.002258, 2956
30, 0.001787, 2916
30, 0.001205, 2876
30, 0.001939, 2976
30, 0.002318, 2872
30, 0.001504, 2908
30, 0.001984, 2956
30, 0.002319, 2868
30, 0.002153, 2900
30, 0.002244, 2896
30, 0.001103, 3024
30, 0.002370, 2948
30, 0.002572, 3548
30, 0.001729, 2880
30, 0.002319, 2916
30, 0.001623, 2904
30, 0.001244, 2896
30, 0.001754, 2916
30, 0.001667, 2868
30, 0.001647, 2972
30, 0.002422, 2916
30, 0.000840, 2916
30, 0.002430, 2928
30, 0.002251, 2896
30, 0.002291, 2872
30, 0.002232, 2872
30, 0.001794, 2928
30, 0.002111, 2868
30, 0.001677, 2904
30, 0.001822, 2948
30, 0.002296, 2972
30, 0.001116, 2900
30, 0.002505, 2876
30, 0.002332, 2928
30, 0.002278, 2896
30, 0.002396, 2972
30, 0.002386, 2876
30, 0.002456, 2896
30, 0.002185, 2972
30, 0.002100, 2876
40, 0.001095, 3676
40, 0.003534, 4520
40, 0.002897, 4580
40, 0.002435, 3696
40, 0.001191, 3696
40, 0.003277, 3668
40, 0.003055, 4144
40, 0.002952, 4540
40, 0.002847, 4528
40, 0.002130, 3596
40, 0.003112, 4584
40, 0.002626, 4584
40, 0.002539, 3692
40, 0.001107, 3696
40, 0.002879, 3668
40, 0.001518, 3696
40, 0.002910, 3596
40, 0.001257, 3596
40, 0.002591, 4584
40, 0.002035, 3676
40, 0.003166, 4504
40, 0.002802, 4584
40, 0.002896, 3668
40, 0.002567, 4748
40, 0.003154, 3676
